No,Perusahaan,Alamat,KBLI
2498.,PT Perorangan Agro Tami Jaya,"Jl. Padas (Samping SDN 1 PADAS), Padas, Kedungjati, Kabupaten Grobogan, Jawa Tengah Telp. 087*********",16105
2499.,PT Agro Tani Pertiwi,"JL. RAYA DEANDLES KM 31, Kel. Wadeng, Kec. Sidayu, Kab. Gresik, Provinsi Jawa Timur, Wadeng, Sidayu, Kabupaten Gresik, Jawa Timur Telp. 081*********",20129
2500.,PR Agro Tani Sejahtera,"kalianak barat 55u, genting kalianak, asem rowo, Kota Surabaya, Jawa Timur Telp. 031-7481736",32909
2461.,PT Agro Mitra Solusi,"Blok Kenur Rt 04 Rw 01, Jayalaksana, Kedokan Bunder, Kabupaten Indramayu, Jawa Barat Telp. 089*********",28210
2462.,CV Agro Mulia,"Jl.Raya Klampok  103 Klampok, Klampok, Wanasari, Kabupaten Brebes, Jawa Tengah Telp. 081***********",20212
2463.,PT Agro Mulia Internasional,Telp.,
2464.,CV Agro Mulya Lestari Jembrana,Telp.,
2465.,PR Agro Niaga Amanah,Telp.,
2466.,PT Agro Niaga Globalindo,"JL KOTA CANE KM 81, DESA KACARIBU, KEC. KABAN JAHE, KAB.KARO SUMUT, Kacaribu, Kabanjahe, Kabupaten Karo, Sumatera Utara Telp. 085*********",20214
2467.,PT Perorangan Agro Niaga Sejahtera,"Kampung Lebak Pari III RT.009 RW. 004, Lebakpeundeuy, Cihara, Kabupaten Lebak, Banten Telp. 081*********",10722
2468.,PT Agro Nusa Abadi,"Pebo'oa, Pebo'oa, Petasia Timur, Kabupaten Morowali, Sulawesi Tengah Telp. 081*********",10431
2469.,CV Agro Nusa Indah,"Jl. Raya Daendles Km. 30,, Wadeng, Sedayu, Kabupaten Gresik, Jawa Timur Telp. 031-3948775",20121
2470.,PT Agro Nusantara Indonesia,"Ds. Doudo, Kec. Sidayu, Kab. Gresik, Doudo, Panceng, Kabupaten Gresik, Jawa Timur Telp. 081*********",20124
2471.,PT Agro Nusantara Internasional,"Jl Raya Pakal No. 27, Pakal, Pakal, Kota Surabaya, Jawa Timur Telp. 081*********",20121
2472.,PT AGRO PALINDO SAKTI,"DESA MANDONG, Mandong, Tayan Hulu, Kabupaten Sanggau, Kalimantan Barat Telp. 0561 747363",10431
2473.,PT Agro Parahyangan Nusantara,"petiyin, Wadeng, Sidayu, Kabupaten Gresik, Jawa Timur Telp. 085*********",20124
2474.,PR Agro Perdana,"Dsn. Semanding RT.01 RW.14 Ds. Tawang, Tawang, Wates, Kabupaten Kediri, Jawa Timur Telp. 081*********",10722
2475.,CV Agro Persada,"Jalan Mulawarman Gang Hunian Gema Tani RT. 034 No. 049, Lamaru, Balikpapan  Timur, Kota Balikpapan, Kalimantan Timur Telp. 0",20129
2476.,PR Agro Pertasi,Telp.,
2477.,PT Agro Plankan Lestari,Telp.,
2478.,PT Agro Prabu Mastari,"Jalan Kerinci Ujung No.12 RT.003 RW.006, Muara Dua, Prabumulih Timur, Kota Prabumulih, Sumatera Selatan Telp. 081*********",20129
2479.,PT Agro Rawas Ulu,"Jl. Lintas Sumatera Sarolangun KM 99, Pasar Surulangun, Rawas Ulu, Kabupaten Musi Rawas, Sumatera Selatan Telp. 061 4152043",10431
2480.,PT Agro Raya Mas,"JALAN KAPT. ILYAS (D/H) JALAN JERMAL RAYA NOMOR 20, SEI MATI, MEDAN LABUHAN, Kota Medan, Sumatera Utara Telp. +62 61 4206 8888",10437
2601.,PR Agung Mahmud,Telp.,
2602.,PR Agung Majid,"KP.CIBEUREUM RT.04 RW.07, Wargasaluyu, Gununghalu, Kabupaten Bandung Barat, Jawa Barat Telp. 083*********",10794
2603.,PT Agung Manufaktur Desaindo,"Jl. Kopo Bihbul KM 6,5 No. 20/6, Margahayu Tengah, Margahayu, Kabupaten Bandung, Jawa Barat Telp. 022-5414301",15121
2604.,PR Agung Mardiansyah Adi Saputra,"JL.A.Yani.Km.26 Rt 04/08, Samping Rindam Landasan Ulin, Guntung Manggis, Landasan Ulin, Kota Banjar Baru, Kalimantan Selatan Telp. 081*********",23959
2605.,PT AGUNG MULIA GENINDO,Telp.,
2606.,PT Agung Multi Kencana,"PERGUDANGAN GREEN SEDAYU BIZPARK CAKUNG BLOK GS 6 NO. 79, CAKUNG TIMUR, CAKUNG, Kota Jakarta Timur, DKI Jakarta Telp. 02122467271",33121
2607.,PR Agung Nugrahadi,"kerajan, Tieng, Kejajar, Kabupaten Wonosobo, Jawa Tengah Telp. 081*********",12091
2608.,PR Agung Nugroho,"Karangrejo RT 017 RW 009, Karangwuni, Wates, Kabupaten Kulon Progo, DI Yogyakarta Telp. 085*********",11090
2609.,PR Agung Nugroho,Telp.,
2610.,PR Agung Nugroho Santi,Telp.,
2611.,PR Agung Panji Utomo,"Teratak, Batukliang Utara, Lombok Tengah, Teratak, Batukliang Utara, Kabupaten Lombok Tengah, Nusa Tenggara Barat Telp. 087*********",10794
2612.,PT Agung Pelita Industrindo,"Jl. Raya Serpong KM. 7, Kelurahan Paku Alam, Kecamatan Serpong Utara, Kota Tangerang Selatan, Banten  dan Jl. Lingkar Utara RT. 09/05, Klampok, Wanasari, Kabupaten Brebes, Jawa Tengah Telp.",15202
2613.,PT Agung Pelita Industrindo,"Jl. Raya Serpong KM.7, Pakualam, Serpong Utara, Kota Tangerang Selatan, Banten Telp. 02153121456",15202
2614.,PT Agung Pelita Industrindo,"JL. Lingkar Utara  RT. 09 RW 05, Klampok, Wanasari, Kabupaten Brebes, Jawa Tengah Telp. 089********",15202
2615.,CV Agung Perkasa Garment,"Jl. Kalioso Simo Km 2,2 No. 88 Ketitang  Nogosari, Ketitang, Nogosari, Kabupaten Boyolali, Jawa Tengah Telp. 02716792665",14111
2616.,PT Agung Perkasa Utama Cemerlang,Telp.,
2617.,PR Agung Permadi,"JL. PURNAWIRAWAN RAYA, Gedong Meneng, Rajabasa, Kota Bandar Lampung, Lampung Telp. 082*********",74113
2618.,PT Perorangan Agung Pilar Cemerlang,"JALAN KELAPA HIBRIDA RAYA BLOOK PF 18 NO 2, Pegangsaan  Dua, Kelapa Gading, Kota Jakarta Utara, DKI Jakarta Telp. 081*********",33200
2619.,PT Agung Poly Nugraha,"KAMPUNG CIREWED, RT.01/04,KM12, Sukadamai, Cikupa, Kabupaten Tangerang, Banten Telp. 0215961157",15122
2620.,PR Agung Prabowo,Telp.,
2441.,CV Agro Lestari,Telp.,
2442.,PT Agro Lestari Makmur Nusantara,"Dukuh Manggisan, Amongrogo, Limpung, Kabupaten Batang, Jawa Tengah Telp. 081*********",20121
2443.,CV Agro Lestarindo,"Jorong Tanjung Gadang Rumah, Tanjuang Gadang, Lareh Sago Halaban, Kabupaten Lima Puluh Kota, Sumatera Barat Telp. 082*********",
2444.,PT Agro Lino Sejahtera,"Jl Binjai KM 14 GG Kenduri No.1, Mulio Rejo, Sunggal, Kabupaten Deli Serdang, Sumatera Utara Telp.",10761
2445.,CV Agro Madura Sejahtera,"Jl. Veteran No. 7, Barurambat  Kota, Pamekasan, Kabupaten Pamekasan, Jawa Timur Telp. 0324323276",82920
2446.,CV Agro Makmur Mandiri,"JL. Krueng Jreu , Desa/Kelurahan Lam Ilie Mesjid, Kec. Indrapuri, Kab. Aceh Besar, Provinsi Aceh, Lam Ilie Mesjid, Indrapuri, Kabupaten Aceh Besar, Nangroe Aceh Darussalam Telp. 085***********",20129
2447.,PT Agro Makmur Raya,"Jl. Soekarno No.1, Bitung Timur, Maesa, Kota Bitung, Sulawesi Utara Telp. -",10437
2448.,PT AGRO MAKMUR RAYA,"JL. BABE PALAR, Madidir Unet, Madidir, Kota Bitung, Sulawesi Utara Telp. -",10422
2449.,CV Agro Makmur Sejahtera,Telp.,
2450.,PR Agro Mandiri Comfeed,"Desa limpua, Tua, Majauleng, Kabupaten Wajo, Sulawesi Selatan Telp. 089**********",10802
2451.,PT Agro Manunggal Cocos,"Jl. Baruga RT/RW 03/01, Blok Kabaiya Barat, Taipa, Palu Utara, Kota Palu, Sulawesi Tengah Telp. 0451-491855",10773
2452.,PT Agro Manunggal Selaras,"Kampung Jelmu Sibak, Kampung Jelmu Sibak, Bentian Besar, Kabupaten Kutai Barat, Kalimantan Timur Telp. -",10431
2453.,PT Agro Mega Perkasa,"Jl. Raya Pelabuhan No.8, Teluk Sepang, Kampung Melayu, Kota Bengkulu, Bengkulu Telp. 087*********",10432
2454.,PT Agro Megatama Persada,"Jalan Raya Jatinegara Barat Nomor 197 RW.003, Desa/Kelurahan Bali Mester, Kec. Jatinegara, Kota Adm. Jakarta Timur, Provinsi DKI Jakarta, Kode Pos: 13310, Bali Mester, Jatinegara, Kota Jakarta Timur, DKI Jakarta Telp. 081*********",25119
2455.,PT Agro Merak Sejahtera,Telp.,
2456.,CV Agro Miftahul Khisba,"Paledang, RT 002 RW 001, Kramatwangi, Cisurupan, Kabupaten Garut, Jawa Barat Telp. 085*********",
2457.,PT Agro Mitra Alimentare,"Jalan Raya Pakis - Jabung, Pakisjajar, Pakis, Kabupaten Malang, Jawa Timur Telp. 0341794811",11040
2458.,CV Agro Mitra Berjaya,"Dusun III, RT.09/RW.05, Pujo Basuki, Trimurjo, Kabupaten Lampung Tengah, Lampung Telp. 082*********",20127
2459.,PT Agro Mitra Madani,"Jln WKS Km 11 Desa Talang Makmur, Tebing Tinggi, Tebing Tinggi, Kabupaten Tanjung Jabung Barat, Jambi Telp. 085*********",10431
2460.,PT Agro Mitra Madani,"JL. WKS KM.11 DESA TALANG MAKMUR, TEBING TINGGI, TEBING TINGGI, Kabupaten Tanjung Jabung Barat, Jambi Telp. 085*********",10431
2421.,PT Agro Deli Serdang,"Dusun V, Dalu Sepuluh-A, Tanjung Morawa, Kab. Deli Serdang, Sumatera Utara, Dalu Sepuluh-A, Tanjung Morawa, Kabupaten Deli Serdang, Sumatera Utara Telp. 082*********",17021
2422.,CV Agro Furgaza Nila,Telp.,
2423.,PT Agro Graha Semesta,Telp.,
2424.,CV Agro Harapan Mandiri,"TOMPO LEMO LEMO, Harapan, Tanete Riaja, Kabupaten Barru, Sulawesi Selatan Telp. 081*********",10761
2425.,CV Agro Inad Mandiri,"Jl. Raya Jumantono, Sambirejo, Jumantono, Kabupaten Karanganyar, Jawa Tengah Telp. 082*********",10437
2426.,CV Agro Inad Mandiri,Telp.,
2427.,PT Agro Indah Permata 21,"Jl. Baru kemang No. 41, Kemang, Kemang, Kabupaten Bogor, Jawa Barat Telp. 085********",20129
2428.,PT Agro Indo Mandiri,"Jl. Pajajaran Kav. E-59, Babakan, Bogor Tengah, Kota Bogor, Jawa Barat Telp. 02518328383",20129
2429.,PT agro indo steel,"jl. industri pancamata IV, kav 72, Desa Leuwilimus, cikande, Kota Serang, Banten Telp. 0254 401220",25931
2430.,PT Agro Indomas,"Jl. Sampit-Pangkalan Bun Km. 75, Terawan, Seruyan Raya, Kabupaten Seruyan, Kalimantan Tengah Telp. 0542 - 593560",10431
2431.,PT Agro Industri Gowa,"Jl HM Yasin Limpo Kompleks Ruko, Romangpolong, Somba Upu, Kabupaten Gowa, Sulawesi Selatan Telp. 085*********",21022
2432.,PT Agro Inti Kencanamas,"Desa Riwang, Riwang, Batu Engau, Kabupaten Paser, Kalimantan Timur Telp. 081********",10431
2433.,PT Agro Jawa Dwipa,"Jalan Jeruklegi Kulon RT 03 RW 03 Dusun Danasri, Jeruklegi, Jeruklegi, Kabupaten Cilacap, Jawa Tengah Telp. 082*********",12019
2434.,PT Agro Jaya Industri,"PERGUDANGAN SUNRISE BIZPARK BLOK D NOMOR 25-26, KAMPUNG GELAM, Gelam Jaya, Pasar Kemis, Kabupaten Tangerang, Banten Telp. +6285781688485",20212
2435.,UD Agro Jaya Inti Bawor,"Jln. Suparjo Rustam Rt 01 Rw 07 Dusun Pritgantil Sokaraja Kulon, Sokaraja, Banyumas Jawa Tengah 53181, Sokaraja Tengah, Sokaraja, Kabupaten Banyumas, Jawa Tengah Telp. 089*********",10799
2436.,CV Agro Jaya Oktaviant,"RT. 05 RW. 02 Dusun Balongpandan, Jogosatru, Sukodono, Kabupaten Sidoarjo, Jawa Timur Telp. 0318988756",20213
2437.,PT Agro Karunia Jaya,Telp.,
2438.,PT Agro Karya Abadi,Telp.,
2439.,CV Agro Karya Mandiri Sejahtera,"Dusun Pulorejo, Menampu, Gumukmas, Kabupaten Jember, Jawa Timur Telp. 081*********",
2440.,CV Agro Konjac Bali,"Jalan Samudra Loka, Desa Lokapaksa, Lokapaksa, Seririt, Kabupaten Buleleng, Bali Telp. 087*********",
2801.,PR Agus Riansyah,Telp.,
2802.,PR Agus Rianto,"Dawuhan Rt 03 Rw 04, Dawuhan, Padamara, Kabupaten Purbalingga, Jawa Tengah Telp. -",32909
2803.,PR Agus Riati,"Jl. gotong royong No. 35 LK II, Pasar Gambir, Tebing Tinggi Kota, Kota Tebing Tinggi, Sumatera Utara Telp. 085*********",10710
2804.,PR Agus Ridlowi,"Jl. Melong Raya Blok Hegarmanah No 16-18, Melong, Cimahi Selatan, Kota Cimahi, Jawa Barat Telp. 082*********",10750
2805.,PR Agus Rifai,"JL RINDANG BANUA GG. 10, Pahandut, Pahandut, Kota Palangka Raya, Kalimantan Tengah Telp. 081*********",
2806.,PR Agus Rita,"Jl. Sulenko No.05 Rt.025/Rw.014 Kelurahan Bumi Emas Kec. Bengkayang, Bumi Emas, Bengkayang, Kabupaten Bengkayang, Kalimantan Barat Telp. 089**********",10750
2807.,PR Agus Riyanto,Telp.,
2808.,PR Agus Riyanto,"Kp Sidomulyo Jl Iklas No 6, Batu IX, Tanjung Pinang Timur, Kota Tanjung Pinang, Kepulauan Riau Telp. 085*********",14120
2809.,PR Agus Riyanto,"Jl. Cimanuk no. 25 RT 01 RW 07, Mintaragen, Tegal Timur, Kota Tegal, Jawa Tengah Telp. -",31001
2810.,PR Agus Riyono,"Kampung Kidul Pasar RT 004 RW 001, Laweyan, Laweyan, Kota Surakarta, Jawa Tengah Telp. 081*********",13134
2811.,PR Agus Rofik Wibowo,"jl.kh wahab chasbullah no.228 tambakrejo jombang, Tambakrejo, Jombang, Kabupaten Jombang, Jawa Timur Telp. 085*********",29300
2812.,PR Agus Rohimat,Telp.,
2813.,PR Agus Rohimawati,"Jalan Imam Bonjol Lrg. Karya RT.12 RW.01, Talang Babat, Muara Sabak Barat, Kabupaten Tanjung Jabung Timur, Jambi Telp. 082***********",11090
2814.,PR Agus Rubianto,Telp.,
2815.,PR Agus S. Salamat,Telp.,
2816.,PR Agus Sabana,"JLN AHMAD SYUKRI RAHIM KM 19, Sungai Lekop, Bintan Timur, Kabupaten Bintan, Kepulauan Riau Telp. 085*********",11052
2817.,PR Agus Sadar Mahrus,"LINGK. V PENANGGO JAYA, Penanggo Jaya, Lambandia, Kabupaten Kolaka Timur, Sulawesi Tenggara Telp. 082*********",10794
2818.,PR Agus Sadik Ali,"lingk.binanga, Labuang, Banggae Timur, Kabupaten Majene, Sulawesi Barat Telp. .",10794
2819.,PR Agus Saefudin,Telp.,
2820.,PR Agus Safari,"Dusun Langdulang, Sana Tengah, Pasean, Kabupaten Pamekasan, Jawa Timur Telp. 081*********",12011
2781.,PR Agus Nur Yahya,"Dusun Sendang, RT/RW 002/003, Sendang, Banyakan, Kabupaten Kediri, Jawa Timur Telp. 085*********",10392
2782.,PR Agus Nurkamal,"Jl. Margaluyu no 49 RT 008 RW 002, Cimahi, Cimahi Tengah, Kota Cimahi, Jawa Barat Telp. 089********",10794
2783.,PR Agus Nuryaman,Telp.,
2784.,PR Agus Permana,"Jl cibaduyut blok TVRI 4 rt 03/04 ciwet Bojobgloa kidul Bandung, Cibaduyut Wetan, Bojongloa Kidul, Kota Bandung, Jawa Barat Telp. 081*********",15202
2785.,PR Agus Permono,"DUSUN SANAN SELATAN 002/003, Mojotrisno, Mojoagung, Kabupaten Jombang, Jawa Timur Telp. 085*********",24202
2786.,PR Agus Prabowo,Telp.,
2787.,PR Agus Prasetya,"Perum Cindelaras Permai RT 03 RW 08, Karangtengah, Tuntang, Kabupaten Semarang, Jawa Tengah Telp. +6281329532202",10313
2788.,PR Agus Prasmono Paputungan,Telp.,
2789.,PR Agus Prayitno,"desa kedondong, Kedondong, Tulangan, Kabupaten Sidoarjo, Jawa Timur Telp. 085*********",12011
2790.,PR Agus Prianto,"BATULICIN RT/RW 016/003, Desa/Kelurahan Batulicin, Kec. Batu Licin, Kab. Tanah Bumbu, Provinsi Kalimantan Selatan, Batulicin, Batu Licin, Kabupaten Tanah Bumbu, Kalimantan Selatan Telp. 085***********",10710
2791.,PR Agus Prianto Santosa,"Jl Muh Yamin No 36 Solo, Jayengan, Serengan, Kota Surakarta, Jawa Tengah Telp. 0271652306",10799
2792.,PR Agus Priyanto,"Genengmulyo Rt. 02 Rw. 05, Desa/Kelurahan Genengmulyo, Kec. Juwana, Kab. Pati, Provinsi Jawa Tengah, Genengmulyo, Juwana, Kabupaten Pati, Jawa Tengah Telp. 081********",
2793.,PR Agus Purnawan,"Manggung Rt.06 Rw.02, Pagerjurang, Musuk, Kabupaten Boyolali, Jawa Tengah Telp. 085*********",10794
2794.,PR Agus Purwanto,"Jl. Negara, Tumbang Talaken, Manuhing, Kabupaten Gunung Mas, Kalimantan Tengah Telp. -",
2795.,PR Agus Purwanto,Telp.,
2796.,PR Agus Purwanto,"Dsn. Bulur, Ngreco, Kandat, Kabupaten Kediri, Jawa Timur Telp. 082*********",10392
2797.,PR Agus Purwohadi,Telp.,
2798.,PR Agus Purwosari,Telp.,
2799.,PR Agus Ramlan,"JL.Purnama 2 Gg.Nurul Hasanah No.28,Kelurahan Kotabaru,Kec.Pontianak Selatan,Kota Pontianak, Kotabaru, Pontianak  Selatan, Kota Pontianak, Kalimantan Barat Telp. 089********",20231
2800., Agus Ria Irawati,Telp.,
2761.,PR Agus Mautang,Telp.,
2762.,PR Agus Minggo Arifianto,"Jl. Pandawa RT.003 RW.002, Desa/Kelurahan Boro, Boro, Selorejo, Kabupaten Blitar, Jawa Timur Telp. 081*********",12011
2763.,PR Agus Mita Sari,"Bungo Tanjung, Bungo Tanjung, Pangkalan Jambu, Kabupaten Merangin, Jambi Telp. 085*********",10710
2764.,PR Agus Muammar,"JALAN K.K. AGUS SALIM, Rantauprapat, Rantau Utara, Kabupaten Labuhanbatu, Sumatera Utara Telp. 085*********",14120
2765.,PR Agus Mudiyanto,"Mutihan No.95, Wates, Wates, Kabupaten Kulon Progo, DI Yogyakarta Telp. 085*********",10750
2766.,PR Agus Muhamad Gaostul Ibad,Telp.,
2767.,"PR Agus Muljono, Se",Telp.,
2768.,PR Agus Mulyadi,"Pasuruhan Lor RT 003 RW 001 Kel. Pasuruhan Lor, Kec. Jati, Kab. Kudus, Prov. Jawa Tengah, Pasuruhan Lor, Jati, Kabupaten Kudus, Jawa Tengah Telp. 081********",10794
2769.,"PR Agus Mulyana,mt","Komplek Pesona Ciganitri C58, Cipagalo, Bojongsoang, Kabupaten Bandung, Jawa Barat Telp. 082*********",
2770.,PR Agus Mulyanto,"Jl. Jendral Basuki Rahmat 12, Tegal Arum, Cangakan, Karanganyar, Kabupaten Karanganyar, Jawa Tengah Telp. (0271) 6498008",
2771.,PR Agus Mulyono,"Tanjungsari, Tanjungkenongo, Pacet, Kabupaten Mojokerto, Jawa Timur Telp. 085********",
2772.,PR Agus Murtini,Telp.,
2773.,PR Agus Murtini,"BTN PUSKOPAD BLOK I NO. 5 RT 003 RW 007, KELURAHAN BENTENG, KECAMATAN CIAMPEA, KABUPATEN BOGOR, 16620, Benteng, Ciampea, Kabupaten Bogor, Jawa Barat Telp. 085*********",10793
2774.,PR Agus Muslih,Telp.,
2775.,PR Agus Muslim,"Kauman, Leksono, Leksono, Kabupaten Wonosobo, Jawa Tengah Telp. 082*********",10750
2776.,PR Agus Muzaeri,"Desa Mojomulyo RT 03 RW 02, Mojomulyo, Tambakromo, Kabupaten Pati, Jawa Tengah Telp. 082*********",10631
2777.,PR Agus Ngurah Handycraft,Telp.,
2778.,PR Agus Novianto,"Kp.Solokanjeruk 004/002, Solokanjeruk, Solokanjeruk, Kabupaten Bandung, Jawa Barat Telp. 089**********",14111
2779.,PR Agus Nur Asikin,"Ringin Anom 145, Kramat Selatan, Magelang Utara, Kota Magelang, Jawa Tengah Telp. 081*********",13134
2780.,PR Agus Nur Wahyu Jana,"Jl Samodra 74 magetan, Bulukerto, Magetan, Kabupaten Magetan, Jawa Timur Telp. 089********",15209
2741.,CV Agus Jati,"Dusun Tanggulboyo RT : 03 RW : 10, Tanggulrejo, Tempuran, Kabupaten Magelang, Jawa Tengah Telp. 335134",16101
2742.,PR Agus Jati Kumara,Telp.,
2743.,PR Agus Johnson Judodihardjo,"Jalan Walet Permai No.32a Rt.13 Rw.06 Pantai Indah Kapuk, Kapuk Muara, Desa/Kelurahan Kapuk Muara, Kec. Penjaringan, Kapuk Muara, Penjaringan, Kota Jakarta Utara, DKI Jakarta Telp. +6281319815655",14111
2744.,PR Agus Junaidi,"JL. STADION IX-G NO. 76, Desa/Kelurahan Lawangan Daya, Lawangan Daya, Pademawu, Kabupaten Pamekasan, Jawa Timur Telp. +6285335874883",11052
2745.,PR Agus Junaidi,"PERUMNAS CITRA DUSUN. II,, Sungaicuka, Satui, Kabupaten Tanah Bumbu, Kalimantan Selatan Telp. 082*********",10710
2746.,PR Agus Kamil Junaidi,"Kelurahan Kulango, Kulango, Biau, Kabupaten Buol, Sulawesi Tengah Telp. .",10392
2747.,PR Agus Khamami,"Mantrianom RT. 01/RW 03, desa/kelurahan Mantrianom, kec. Bawang, kab. Banjarnegara, provinsi Jawa Tengah, Mantrianom, Bawang, Kabupaten Banjarnegara, Jawa Tengah Telp. 081*********",18111
2748.,PR Agus Kurniawan,Telp.,11052
2749.,PR Agus Las,Telp.,
2750.,PR Agus Lesmana,"KUTACANE LAMA, Kutacane Lama, Babussalam, Kabupaten Aceh Tenggara, Nangroe Aceh Darussalam Telp. 085*********",10794
2751.,PR Agus Lindawati,"JL. TANAH MERAH RT 03 RW 02, Harapan Jaya, Bunguran  Tengah, Kabupaten Natuna, Kepulauan Riau Telp. 082*********",10794
2752.,PR Agus Lino Miter,"Nitikan Barat, Semanu, Semanu, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 628**********",16291
2753.,PR Agus Listyaningsih,"Desa Martadah Baru RT. 09 RW. 03, Martadah Baru, Tambang Ulang, Kabupaten Tanah Laut, Kalimantan Selatan Telp. 087*********",14120
2754.,PR Agus Mardi Santoso,"Jalan Gubernur Bastari, Lima-belas Ulu, Jakabaring, Kota Palembang, Sumatera Selatan Telp. 085*********",
2755.,PR Agus Mariyanto,"JL. MARGODADI, Desa Teluk Singkawang Kec. Sumay Kab. Tebo, Teluk Singkawang, Sumay, Kabupaten Tebo, Jambi Telp. 081*********",10792
2756.,PR Agus Martanto,Telp.,
2757.,PR Agus Marufi,"Serenan, Juwiring, Klaten, Serenan, Juwiring, Kabupaten Klaten, Jawa Tengah Telp. 089*********",31001
2758.,PR Agus Masrukhi,"TAMAN CIPTA ASRI D/178, Tembesi, Sagulung, Kota Batam, Kepulauan Riau Telp. 081**********",10710
2759.,PR Agus Maulidiya Wati,"Seniung Jaya RT. 03, Seniung Jaya, Paser Belengkong, Kabupaten Paser, Kalimantan Timur Telp. 081*********",10710
2760.,PR Agus Maulina,"TELAGA BIDADARI, Desa/Kelurahan Telaga Bidadari, Kec. Sungai Raya, Kab. Hulu Sungai Selatan,Kalimantan Selatan, Telaga Bidadari, Sungai Raya, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan Telp. 083*********",10393
2721.,PR Agus Hari Niti Sumito,"PERUMAHAN PESONA BUKIT LAGUNA BLOK C3 NO 18, Tanjung Piayu, Sei Beduk, Kota Batam, Kepulauan Riau Telp. 082*********",32903
2722.,PR Agus Hariyanto,Telp.,
2723.,PR Agus Hartadi,"loyok, Loyok, Sikur, Kabupaten Lombok Timur, Nusa Tenggara Barat Telp. 081*********",16292
2724.,PR Agus Haryono,"KEDUNG I, Karangtengah, Wonosari, Kabupaten Gunung Kidul, DI Yogyakarta Telp. 628**********",16299
2725.,PR Agus Hendartono,"Bangun RT04 RW 04, Keduren, Purwodadi, Kabupaten Purworejo, Jawa Tengah Telp. 088**********",12019
2726.,PR Agus Hendra,"Jalan Murai Dalam No.110 RT.31/RW.10  Desa Aikraya, Aik Rayak, Tanjung Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung Telp. 085*********",10761
2727.,PR Agus Hendrik Susanto,"Semanggi, Semanggi, Pasar Kliwon, Kota Surakarta, Jawa Tengah Telp. +6281803348504",32903
2728.,PR Agus Hendrowarsito,"JL KUPANG BARU 3 NO. 08 SURABAYA, Sonokwijenan, Sukomanunggal, Kota Surabaya, Jawa Timur Telp. 0317321700",10635
2729.,PR Agus Hermawan,"Blok Mekarmulya	RT 001 RW 002, Cihaur, Maja, Kabupaten Majalengka, Jawa Barat Telp. 081*********",10761
2730.,PR Agus Heryana SM,"Kp Baru Mukti RT 004 RW 002, Margaluyu, Pangalengan, Kabupaten Bandung, Jawa Barat Telp. 082*********",10799
2731.,PR Agus Heryanto,Telp.,
2732.,PR Agus Huzaini,"Jalan Plamboyan II Dusun Urisan Jaya RT.004 RW.002, Padang, Manggar, Kabupaten Belitung Timur, Kepulauan Bangka Belitung Telp. -",10729
2733.,PR Agus Idayah,Telp.,
2734.,PR Agus Indrajaya,Telp.,45407
2735.,PR Agus Indriasari Wijaya,"Perumahan Guwosari Blok 9 No 82, Guwosari, Pajangan, Kabupaten Bantul, DI Yogyakarta Telp. 081*********",10710
2736.,PR Agus Irawan,"Lingkungan Ketapang, Lelateng, Negara, Kabupaten Jembrana, Bali Telp. 083*********",10392
2737.,PR Agus Iskandar,Telp.,
2738.,PR Agus Iskandar,"JL BOROBUDUR , Desa/Kelurahan Muararapak, Kec. Balikpapan Utara, Kota Balikpapan, Provinsi Kalimantan Timur Kode Pos: 76125, Muararapak, Balikpapan  Utara, Kota Balikpapan, Kalimantan Timur Telp. 081*********",45407
2739.,PR Agus Istiyanto,"Taman kulon RT 02 RW 02, Wiroko, Tirtomoyo, Kabupaten Wonogiri, Jawa Tengah Telp. 085*********",23922
2740.,PR Agus Jarot Subagyo,"PERUM BUANA IMPIAN 1 BLOK J NO. 07, Tembesi, Sagulung, Kota Batam, Kepulauan Riau Telp. 085*********",10761
2701.,PR Agus Djumbadiono,"Plumbon RT 008, Plumbon, Sambungmacan, Kabupaten Sragen, Jawa Tengah Telp. +628111617127",12011
2702.,PR Agus Dodi Wiyanto,"Jl. BANGUN CIPTA SARANA No.99, Kelapa Gading Timur, Kelapa Gading, Kota Jakarta Utara, DKI Jakarta Telp. 081*********",
2703.,PR Agus Duko,Telp.,
2704.,PR AGUS EFENDI,"Dusun Sangoleng, Lesong Daja, Batumarmar, Kabupaten Pamekasan, Jawa Timur Telp. 087*********",14131
2705.,PR Agus Efendi,"Jalan Raya Rambipuji, Rambipuji, Rambipuji, Kabupaten Jember, Jawa Timur Telp. 082*********",12011
2706.,PR Agus Efendi,"DUSUN MORTONGGAK, Ragung, Pangarengan, Kabupaten Sampang, Jawa Timur Telp. 087*********",12011
2707.,PR Agus Eka Prasetiyo,"Dusun Salosa RT 06 RW 13, Paberasan, Kota Sumenep, Kabupaten Sumenep, Jawa Timur Telp. 087*********",12011
2708.,PR Agus Eko Priyono,"Paten RT 48 RW 24 TUKSONO SENTOLO KULONPROGO, Tuksono, Sentolo, Kabupaten Kulon Progo, DI Yogyakarta Telp. 085*********",10392
2709.,PR Agus Erawan,"Dusun Dalem RT 012 RW 003, Ngumpakdalem, Dander, Kabupaten Bojonegoro, Jawa Timur Telp. +62 851-7695-9687",10710
